iter	Passed	Remaining
210	38798	53140
211	38974	52946
212	39150	52752
213	39324	52555
214	39522	52390
215	39700	52199
216	39875	52003
217	40042	51797
218	40222	51609
219	40392	51409
220	40567	51213
221	40739	51016
222	40914	50821
223	41092	50631
224	41277	50450
225	41461	50267
226	41630	50066
227	41807	49875
228	41980	49680
229	42162	49495
230	42339	49304
231	42587	49195
232	42766	49007
233	42944	48817
234	43129	48635
235	43303	48441
236	43480	48249
237	43663	48066
238	43835	47870
239	44019	47687
240	44195	47495
241	44370	47303
242	44547	47113
243	44717	46916
244	44897	46730
245	45071	46537
246	45250	46349
247	45430	46163
248	45609	45975
249	45793	45793
250	45967	45601
251	46162	45429
252	46334	45235
253	46550	45084
254	46733	44901
255	46918	44719
256	47096	44530
257	47272	44341
258	47452	44154
259	47631	43967
260	47808	43778
261	47990	43594
262	48170	43408
263	48350	43222
264	48535	43040
265	48714	42854
266	48894	42668
267	49065	42474
268	49256	42298
269	49424	42102
270	49597	41910
271	49784	41730
272	49949	41533
273	50123	41342
274	50310	41163
275	50483	40972
276	50665	40788
277	50847	40604
278	51025	40417
279	51203	40231
280	51381	40044
281	51547	39848
282	51717	39656
283	51895	39469
284	52081	39289
285	52261	39105
286	52436	38916
287	52616	38731
288	52788	38541
289	52961	38351
290	53133	38160
291	53318	37980
292	53502	37798
293	53682	37613
294	53858	37427
295	54041	37244
296	54208	37051
297	54390	36868
298	54571	36684
299	54744	36496
300	54925	36312
301	55100	36125
302	55283	35943
303	55454	35753
304	55627	35564
305	55806	35380
306	55987	35197
307	56170	35015
308	56337	34823
309	56507	34633
310	56679	34445
311	56860	34262
312	57047	34082
313	57221	33895
314	57395	33708
315	57581	33528
316	57749	33338
317	57931	33155
318	58113	32973
319	58291	32788
320	58473	32606
321	58649	32421
322	58840	32244
323	59008	32054
324	59187	31870
325	59362	31684
326	59532	31495
327	59701	31307
328	59887	31127
329	60071	30946
330	60249	30761
331	60430	30579
332	60617	30399
333	60790	30213
334	60958	30024
335	61168	29855
336	61371	29684
337	61568	29508
338	61756	29329
339	61967	29161
340	62167	28987
341	62359	28809
342	62559	28635
343	62751	28457
344	62946	28280
345	63134	28100
346	63325	27921
347	63501	27736
348	63678	27551
349	63852	27365
350	64031	27181
351	64215	26999
352	64397	26817
353	64584	26636
354	64763	26452
355	64930	26264
356	65103	26077
357	65283	25894
358	65461	25710
359	65643	25527
360	65822	25344
361	66001	25160
362	66194	24982
363	66374	24799
364	66556	24616
365	66729	24430
366	66903	24245
367	67076	24059
368	67258	23877
369	67445	23696
370	67619	23511
371	67797	23328
372	67972	23143
373	68141	22956
374	68309	22769
375	68493	22588
376	68671	22404
377	68852	22222
378	69032	22039
379	69219	21858
380	69402	21676
381	69575	21491
382	69752	21308
383	69931	21125
384	70103	20939
385	70289	20759
386	70473	20577
387	70650	20393
388	70822	20209
389	71008	20028
390	71188	19845
391	71365	19661
392	71546	19479
393	71719	19295
394	71899	19112
395	72080	18930
396	72257	18746
397	72429	18562
398	72613	18380
